online_order,book_table,rate,votes,location,cuisines,cost,menu_item
1,0,3.9,441,1,1592,400,5047
1,0,4.3,630,30,1454,200,5047
1,0,3.9,160,46,84,300,5047
1,0,4.2,287,1,1156,350,5047
1,0,4.1,402,1,332,500,5047
1,0,3.8,469,4,1208,750,5047
1,0,3.3,511,46,166,550,5047
1,0,3.9,264,1,1547,200,5047
1,0,3,62,1,444,400,5047
1,0,3.8,693,1,1474,750,5047
1,0,3.8,242,30,1089,650,5047
1,0,4.1,163,4,684,500,5047
1,0,4.2,191,4,1636,250,3959
1,0,3.5,32,1,1486,150,5047
1,0,2.5,247,1,1156,500,5047
1,1,4.1,2339,30,1206,1500,5047
1,0,4.1,337,30,547,300,5047
1,0,3.9,135,1,1222,800,5047
1,0,3.6,172,79,1196,700,5047
1,0,3.6,105,1,1678,700,5047
1,0,4.2,504,1,485,550,5047
1,1,4.3,1129,30,1009,1300,5047
1,0,4.3,860,1,789,500,5047
1,0,3.8,412,30,77,700,5047
1,1,3.9,142,30,1093,1000,5047
1,0,3.6,143,30,1554,750,5047
1,0,4.4,181,30,231,250,5047
1,0,3.8,70,30,1451,200,5047
1,0,3.8,164,4,1476,600,5047
1,0,3.6,58,46,366,650,5047
0,0,3.8,148,4,1194,550,5047
0,0,3.9,206,4,1585,450,5047
0,0,3.7,217,4,1281,450,5047
0,0,3.8,148,4,873,150,5047
1,0,2.9,177,30,1211,700,5047
1,0,3.7,136,1,1507,600,5047
1,0,4.1,185,30,1022,200,5047
1,0,3.8,155,54,1597,400,5047
1,0,3.8,42,1,1589,300,2891
1,0,3.8,286,4,1156,600,5047
1,0,3.8,160,1,1196,700,5047
1,0,3.8,59,1,1196,750,5047
1,0,4,89,30,1551,200,5047
1,0,3.9,40,4,1280,600,5047
1,0,2.5,35,4,817,200,5047
1,0,3.6,62,1,985,600,5047
1,0,4.1,139,30,1277,550,5047
1,0,3.7,237,1,1571,200,3163
1,0,3.9,388,1,299,650,5047
1,0,3.9,128,46,1568,500,103
1,1,4.1,1875,30,1159,1200,5047
1,0,3.8,90,1,332,650,5047
1,0,4.2,179,1,1465,600,5047
1,0,4.3,275,4,1547,100,2701
1,0,3.7,323,30,609,850,5047
1,0,4.3,322,30,1547,400,5047
1,0,2.6,157,30,346,450,5047
1,0,3.9,543,4,1571,300,2710
1,0,3.7,180,1,496,500,5047
1,0,4.2,444,4,1547,100,3895
1,0,3.9,134,30,1647,400,4179
1,0,3.8,577,30,1421,900,5047
1,0,3.9,144,30,1268,550,5047
1,0,4.1,787,1,594,800,5047
1,0,3.6,84,1,1589,250,110
1,1,4,349,1,1519,1200,5047
1,0,3.7,248,46,1327,400,5047
1,0,4.1,216,4,391,500,5047
1,0,4,324,1,462,700,5047
1,0,2.6,231,46,1270,400,4439
1,0,3.4,102,79,1591,400,743
1,0,3.9,133,1,441,800,5047
1,0,2.8,45,1,1483,800,5047
1,0,3.8,75,1,836,200,5047
1,0,4,53,63,1113,600,5047
1,1,4.2,815,30,1196,900,5047
1,1,4,633,1,1196,800,5047
1,0,3.5,56,30,958,400,5047
1,0,3.9,70,1,846,400,5047
1,0,3.9,91,30,439,300,5047
1,0,3.8,77,46,401,650,5047
1,0,3.8,210,46,1235,600,5047
1,0,4.1,130,30,473,650,5047
1,0,4.1,30,30,231,100,5047
1,0,3.8,144,1,533,700,5047
1,0,3.7,133,30,607,700,5047
1,0,4,136,30,1571,350,1680
1,0,3.8,74,4,1589,300,5047
1,0,3.7,54,4,359,600,5047
1,0,3.4,58,4,436,400,5047
1,0,3.6,129,1,1091,600,5047
1,0,3.5,41,75,1475,400,5047
1,0,4.1,176,4,68,800,5047
1,0,3.7,47,30,844,400,5047
1,1,3.7,36,30,586,650,5047
1,0,3.9,101,4,1547,150,5047
1,1,4.1,442,30,692,1200,5047
1,0,3.8,53,30,953,250,5047
1,0,4,232,30,1561,400,5047
1,0,3.9,221,30,521,700,5047
1,1,4.1,1063,30,987,1200,5047
1,0,3.7,93,4,1628,200,5047
1,0,3.9,233,30,1007,800,5047
1,0,3.9,211,30,840,500,5047
1,0,4,1778,30,1444,200,43
1,0,3.6,218,82,1277,800,5047
1,0,3.7,514,4,458,600,5047
1,1,4,866,30,1296,900,5047
1,0,3.2,96,46,1156,400,5047
1,0,3.5,80,1,1670,250,5047
1,0,4,73,4,194,300,3025
1,0,3.9,84,30,1121,400,5047
1,0,3.5,88,1,1592,350,5047
1,0,3.5,179,1,1208,600,5047
1,0,3.8,61,4,1021,100,5047
1,0,3.7,128,79,1220,450,5047
1,0,3.8,339,30,1589,400,740
1,0,4.1,449,4,1628,100,5047
1,0,4.1,210,30,210,150,5047
1,0,3,213,1,1428,400,5047
1,0,3.2,208,30,1652,250,4095
1,0,3.8,70,1,1547,100,131
1,0,4,219,4,455,600,5047
1,0,3.7,59,1,1451,200,5047
1,0,3.7,124,46,292,750,5047
1,1,4.1,775,1,1386,800,5047
1,1,4.2,2022,30,1416,1000,5047
1,1,4.2,150,1,462,600,1390
1,0,4,232,4,1196,750,5047
1,1,3.5,431,30,1156,800,5047
1,1,4.2,2115,1,1481,800,5047
1,0,4.2,150,30,1156,800,1664
1,0,3.8,155,30,1597,450,5047
1,1,4.1,666,30,50,1000,5047
1,0,3.9,240,4,332,700,5047
1,0,3.8,918,1,484,800,5047
1,0,4,465,30,1597,600,2731
1,1,4.1,970,30,1313,1500,5047
1,0,3.3,128,1,1196,300,5047
1,0,3.6,241,46,1196,300,5047
1,0,4.3,734,1,1597,200,3169
1,0,3.8,130,30,1181,400,5047
1,0,4.2,261,30,389,700,5047
1,0,4,191,46,1598,300,130
1,0,4.1,364,4,1566,550,133
1,0,3.9,888,1,1434,750,2724
1,0,3.9,750,4,1277,500,3359
1,1,4.2,164,1,380,500,5047
1,0,3.8,527,4,1156,500,5047
0,0,4.3,345,1,956,400,5047
0,0,4.4,356,1,1116,150,5047
1,0,3.9,38,1,949,150,1817
1,0,3.9,116,1,959,400,2645
1,0,3.8,918,1,484,800,5047
1,0,3.8,144,1,533,700,5047
1,0,4.3,860,1,789,500,5047
0,0,3.8,45,1,175,400,5047
1,0,3.9,70,1,846,400,5047
0,0,4,98,4,1123,400,5047
1,0,4,219,4,455,600,4811
1,0,4,73,4,194,300,3025
1,0,2.7,97,4,1597,400,5047
1,0,3.9,888,1,1434,750,2723
1,1,4,349,1,1519,1200,1161
1,0,4.2,287,1,1156,350,5047
1,1,4.6,2556,1,1468,600,5047
1,1,4.2,354,1,151,800,631
1,1,4.1,775,1,1386,800,5047
1,1,4.2,2115,1,1481,800,5047
0,1,3.8,977,1,878,1300,5047
0,0,4.1,868,1,704,1200,5047
1,0,4,324,1,462,700,4464
1,0,4.1,787,1,594,800,5047
1,0,4.2,504,1,485,550,921
1,0,4.1,402,1,332,500,3421
1,1,4.2,150,1,462,600,1391
1,1,4.2,164,1,380,500,2020
0,0,4.2,244,1,1000,800,5047
1,0,4,771,1,1589,450,4549
1,0,4.2,1647,1,609,600,5047
0,1,4,808,1,1196,850,5047
0,0,4,424,1,383,450,5047
1,0,3.9,135,1,1222,800,3649
1,0,3.8,918,1,484,800,5047
1,0,3.8,90,1,332,650,5047
1,0,3.9,519,1,561,900,5047
1,0,3.6,105,1,1678,700,5047
1,0,3.9,133,1,441,800,1303
1,0,3.8,144,1,533,700,5047
0,0,3.9,93,1,456,300,5047
1,0,3.8,42,1,1589,300,2891
1,0,2.5,247,1,1156,500,2854
1,0,3,62,1,444,400,2412
1,0,3.8,160,1,1196,700,4051
1,0,3.6,129,1,1091,600,1332
0,0,3.3,62,1,1589,800,5047
0,0,2.6,283,1,1156,600,5047
1,0,3.8,59,1,1196,750,5047
1,0,3.5,179,1,1208,600,3594
0,0,3.8,62,1,1561,150,5047
0,0,3,98,1,1196,800,5047
0,0,2.7,128,1,604,850,5047
1,0,2.8,45,1,1483,800,2158
1,0,3.5,41,75,1475,400,5047
1,0,3.7,405,1,1474,750,4226
1,0,3.9,388,1,299,650,959
0,0,4.7,651,1,1547,100,5047
1,0,4.3,734,1,1597,200,4698
0,0,4,1047,1,980,450,5047
1,0,3.8,505,1,322,450,669
1,0,3.9,264,1,1547,200,3221
1,0,3.9,286,1,322,500,3384
0,0,4.4,343,1,1547,100,5047
0,0,3.8,70,1,821,500,5047
1,0,3.8,70,1,1547,100,132
1,0,3.7,237,1,1571,200,2040
1,0,4.1,201,1,1597,300,1913
1,0,2.8,506,1,1332,500,5047
0,0,4.1,520,1,248,300,5047
0,0,3.7,88,1,1587,300,5047
1,0,3.7,136,1,1507,600,865
0,0,3.9,88,1,1547,250,5047
0,0,3.8,189,1,1547,300,5047
0,0,3.8,39,1,1563,350,5047
1,0,3.9,540,1,1474,800,3122
0,0,3.6,71,1,1416,250,5047
1,0,3.5,88,1,1592,350,1037
1,0,3,87,1,1476,600,3490
1,0,4.2,415,1,1190,500,1023
1,0,3.3,128,1,1196,300,1864
0,0,4.1,94,1,1547,100,5047
0,0,3.7,65,1,873,300,5047
0,0,3.5,52,1,1547,300,5047
1,0,3,290,1,1215,450,65
1,0,3.7,59,1,1451,200,5047
0,0,3.7,130,1,1547,200,5047
1,0,3.5,80,1,1670,250,4264
1,0,3.9,441,1,1592,400,2010
1,0,3.6,84,1,1589,250,744
0,0,4,42,1,1615,300,5047
1,0,3,213,1,1428,400,4368
0,0,4.2,725,30,1552,350,5047
1,0,3.9,750,4,1277,500,3317
0,0,3.8,166,4,1406,600,5047
0,0,4.4,4460,4,1547,150,5047
0,0,3.9,153,4,1547,350,5047
1,0,3.8,469,4,1208,750,1784
1,0,4.1,364,4,1566,550,4743
1,0,3.8,286,4,1156,600,3567
1,0,3.8,527,4,1156,500,417
1,0,3.9,101,4,1547,150,3893
1,0,4.1,558,4,1547,150,5047
0,0,3.8,148,4,1194,550,5047
0,0,2.7,377,4,1292,1100,5047
0,0,3.9,206,4,1585,450,5047
0,0,3.9,100,4,1589,300,5047
1,0,4.2,444,4,1547,100,3896
0,0,3.9,133,4,979,650,5047
1,0,4,219,4,455,600,4811
0,0,4.2,253,4,1547,250,5047
0,0,3.7,61,4,310,600,5047
1,0,3.8,155,54,1575,400,4183
1,0,3.9,233,30,1007,800,884
1,0,3.7,264,54,1212,750,3538
0,0,4.1,238,4,1547,600,5047
1,0,4.1,176,4,68,800,3310
1,0,3.7,93,4,1628,200,1735
0,0,3.8,124,4,1574,300,5047
1,0,4.3,275,4,1547,100,5047
0,0,4.2,254,4,1547,150,5047
0,0,4.1,177,4,1547,100,5047
1,0,4,132,4,817,200,5047
1,0,3.8,74,4,1589,300,4411
1,0,3.6,172,79,1196,700,5047
1,0,3.9,543,4,1571,300,5047
0,0,4,52,4,1547,300,5047
0,0,3.7,217,4,1281,450,5047
0,0,3.9,111,4,1258,700,5047
1,0,3.8,133,4,1636,200,4542
0,0,3.8,39,30,1587,250,5047
0,0,4,64,4,1547,200,5047
0,0,3.8,148,4,873,150,5047
0,0,3.8,55,75,595,300,5047
0,1,3.8,977,1,878,1300,5047
0,0,4.1,868,1,704,1200,5047
0,0,3.3,62,1,1589,800,5047
0,0,3,98,1,1196,800,5047
0,0,2.7,377,4,1292,1100,5047
1,1,4.4,2487,3,1343,900,5047
1,1,4.2,1964,3,87,1000,462
1,0,4.3,3178,3,1402,750,2897
1,0,3.3,455,3,50,550,2415
0,1,4.7,3845,28,1325,1600,5047
0,0,4.3,353,28,1416,1200,5047
0,1,4.1,1234,28,1423,800,5047
1,1,4.1,1538,28,165,1000,1380
1,1,3.8,756,28,1156,1000,5047
1,1,4,347,28,1295,1000,5047
0,1,4,165,28,1592,1000,5047
0,0,3.3,177,28,1222,950,5047
1,0,3,102,0,1589,600,2804
0,1,4,200,3,383,700,5047
1,0,3.9,102,3,352,450,4863
1,0,3.7,171,3,332,300,1176
1,0,3.7,37,3,359,400,2933
1,0,3.9,40,3,442,400,621
0,0,3.9,125,3,446,500,5047
1,0,3.9,49,3,332,600,1778
0,0,3.8,69,3,350,700,5047
0,0,3.9,78,3,332,350,5047
1,0,2.7,48,3,549,650,3406
1,0,4.1,46,28,502,600,4573
0,0,4,129,28,383,600,5047
1,1,3.9,727,28,416,800,397
0,0,4.1,521,28,404,550,5047
1,0,4.1,203,28,366,650,314
1,1,4.4,4381,28,1468,600,2241
1,0,3.7,131,28,504,400,2740
1,0,3.7,46,28,318,450,4884
0,0,3.4,48,28,436,550,5047
1,0,3.7,127,28,467,700,512
1,0,2.7,85,28,496,500,3094
1,0,4.5,1178,0,930,500,5047
1,0,3.7,335,0,65,800,5047
1,0,3.8,254,0,282,800,2463
1,0,4.1,63,28,869,300,2211
1,0,4,244,0,202,400,5047
1,0,2.9,255,0,1156,250,5047
1,0,4.5,549,0,773,400,5047
1,0,4.1,775,0,1597,300,5047
1,0,3.6,208,28,285,300,4865
1,0,4.1,739,28,565,500,4664
1,0,3.8,310,3,1156,400,1115
1,0,4,126,0,1156,150,1919
1,0,4.1,427,3,1392,500,1891
1,0,4,197,0,1156,300,5047
1,0,4.1,601,0,1477,700,4809
1,0,3.9,488,28,273,400,1143
1,0,4,396,3,1589,400,5047
1,0,3.6,474,0,1235,450,5047
1,0,2.9,172,0,1196,300,3205
1,0,3.1,175,3,42,250,5047
1,0,4,939,0,558,600,5047
1,0,3.9,173,0,1461,250,4900
1,0,3.9,77,3,1156,400,356
1,0,3.9,326,0,1195,200,5047
1,0,3.3,212,28,236,350,1286
1,0,4.1,464,0,1179,300,5047
1,0,3.3,628,3,923,450,4150
1,0,3.6,518,28,1589,400,2853
1,0,3.9,70,3,767,350,597
1,0,3.9,62,28,324,300,1093
1,0,4.4,819,30,956,400,5047
1,1,4.2,1964,3,87,1000,460
1,0,4,138,3,235,650,1985
1,0,3.3,455,3,50,550,2414
1,0,3.8,181,3,1181,600,3670
1,0,3.6,43,28,311,300,824
1,0,2.7,159,28,1465,750,4226
1,0,3.2,166,3,1507,600,5047
1,0,3.7,128,3,282,400,2775
1,0,2.9,126,0,565,300,553
1,0,4,952,30,1355,400,1983
1,0,3.8,472,3,323,600,1824
1,1,4,739,3,296,800,2988
1,0,3.9,255,0,50,500,1108
1,0,4,1974,28,294,800,4695
1,1,4.2,1428,28,64,800,1381
1,0,4,332,28,1589,300,5047
1,1,4,199,28,1476,700,2228
1,0,3.9,437,28,322,400,672
1,0,3.8,207,3,237,700,945
1,1,4.4,4381,28,1468,600,5047
1,0,3.8,55,3,1589,300,5047
1,0,4,597,3,1156,400,1566
1,0,3,102,0,1589,600,5047
1,0,3.9,189,0,256,300,1189
1,0,3.7,131,28,504,400,5047
1,0,4.2,373,28,266,750,5047
1,0,3.9,435,0,197,650,3015
1,0,4.1,292,0,250,700,5047
1,0,3.6,137,3,84,300,5047
1,0,3.2,133,3,1209,500,5047
1,0,3.9,37,28,1518,250,3881
1,0,3.7,170,28,862,200,5047
1,0,3.6,794,3,286,550,4203
1,0,4.6,404,3,0,1000,5047
1,1,3.9,561,3,1156,900,5047
1,1,3.9,486,0,710,700,5047
1,0,3.9,320,3,1196,650,2512
1,0,4.1,237,28,791,500,2644
1,1,3.9,1227,3,116,900,1175
1,0,4,95,3,1113,600,4932
1,1,4.1,1538,28,165,1000,2491
1,0,3.7,110,3,43,800,3526
1,0,4.1,381,0,84,250,4064
1,0,3.9,251,3,1190,500,1030
1,0,3,353,28,1285,400,5047
1,0,4,205,28,1181,450,2037
1,0,3.9,183,0,868,250,4679
1,0,3.9,99,3,956,400,5047
1,0,4.1,260,28,1156,300,5047
1,0,3.9,355,0,1196,400,5047
1,0,4.1,83,0,856,400,5047
1,0,2.5,321,28,1241,400,3392
1,0,3.9,362,0,1156,600,5047
1,1,4.2,2166,28,10,1200,1767
1,0,4,182,28,1121,400,5047
1,1,3.8,500,3,1437,1000,5047
1,0,4,532,3,610,800,5047
1,1,3.5,551,3,1236,600,5047
1,0,4.2,421,3,604,700,5047
1,0,3.7,662,28,201,650,5047
1,0,3.8,54,3,300,500,3784
1,0,4.1,92,0,537,300,922
1,0,3.7,36,28,282,600,728
1,0,4.2,2350,28,1156,800,5047
1,0,3.9,49,3,332,600,5047
1,0,3.7,184,0,858,400,5047
1,1,3.6,225,3,286,700,4382
1,0,4,35,0,775,300,497
1,0,4,869,0,250,500,1288
1,0,4,153,28,1637,200,5047
1,0,3.7,139,3,1268,400,5047
1,0,3.7,181,3,282,500,5047
1,0,3.9,669,0,1156,500,4387
1,0,3.7,168,3,1110,600,5047
1,0,3.8,170,3,1256,250,5047
1,0,4,112,28,1649,200,5047
1,0,3.8,58,0,203,300,3811
1,0,4,167,30,1589,400,5047
1,0,3.9,85,28,1490,300,5047
1,0,2.6,473,0,1002,600,902
1,0,3.7,217,28,1423,500,5047
1,0,3.6,192,0,917,450,5047
1,1,4.2,611,0,141,1500,1777
1,0,4,166,3,1465,750,1723
1,0,4.1,46,28,502,600,5047
1,1,4.4,2233,3,744,1200,5047
1,0,4,107,0,1156,300,5047
1,0,4.2,306,0,1045,600,5047
1,1,3.8,756,28,1156,1000,5047
1,1,4.4,4309,28,625,1600,5047
1,0,4,212,3,1156,400,5047
1,0,2.9,153,3,197,600,5047
1,0,4,827,0,1490,500,5047
1,0,4,256,3,322,500,5047
1,0,3.9,40,3,442,400,5047
1,0,3.9,73,3,1578,400,5047
1,0,4.2,169,28,361,600,5047
1,0,4.1,586,28,558,700,5047
1,0,3.5,221,0,1119,400,5047
1,0,3.5,177,0,203,500,5047
1,0,3.9,347,28,609,600,5047
1,0,3,347,3,1474,800,3125
1,0,3.9,385,28,1476,600,5047
1,0,4,1305,28,625,750,5047
1,0,3,122,3,609,500,5047
1,0,4.3,539,28,617,300,5047
1,1,3.9,681,3,1274,800,5047
1,0,3.8,106,28,306,350,5047
1,1,4.1,1025,3,1156,1000,5047
1,0,3.6,132,3,1652,250,5047
1,0,4.2,289,3,6,400,5047
1,0,3.9,407,28,1196,500,5047
1,0,3.9,201,3,1196,250,5047
1,0,3.7,37,3,359,400,5047
1,0,4.1,203,28,366,650,314
1,0,3.1,320,28,1384,600,5047
1,1,3.8,257,3,73,800,5047
1,0,3.8,46,28,1465,450,5047
1,0,3.9,102,3,352,450,5047
1,1,4.2,237,28,349,600,5047
1,0,3.7,108,3,1084,600,5047
1,0,3.9,34,28,1091,750,5047
1,0,3.2,144,3,1218,350,2461
1,1,4.2,1028,28,614,1100,5047
1,0,3.8,84,3,38,600,3885
1,0,4,181,28,1214,550,5047
1,0,4,128,0,949,230,3240
1,0,3.8,171,28,1156,250,5047
1,0,3.9,200,28,1087,400,5047
1,0,3,114,3,521,1000,5047
1,0,3.8,146,28,521,600,5047
1,0,4.2,248,0,210,500,381
1,1,4.1,583,28,688,1200,5047
1,0,3.7,42,28,1196,500,5047
1,0,3.7,171,3,332,300,5047
1,0,3.7,79,28,826,500,5047
1,0,3.7,46,28,318,450,5047
0,0,4.2,1278,3,43,800,5047
1,0,3.4,276,0,1455,250,5047
1,0,3.1,64,28,1554,750,5047
1,0,4,69,0,773,300,5047
1,0,3.7,288,46,1196,500,3537
1,0,4.3,676,3,772,500,5047
1,0,4.1,140,28,1547,100,5047
1,0,4,65,28,217,600,4490
1,1,4.1,448,28,695,700,5047
1,0,4,203,0,350,500,5047
1,0,3.1,166,3,1219,600,5047
1,1,4.1,1320,28,1222,1200,5047
1,0,4,116,28,604,400,5047
1,0,4.4,288,3,217,400,5047
1,0,2.7,85,28,496,500,5047
1,0,3.9,124,0,1196,400,5047
1,0,3.6,323,3,1476,800,5047
1,0,3.7,51,3,1156,300,5047
1,0,4.2,229,28,1296,1000,5047
1,0,2.8,102,3,1196,350,5047
1,0,4,76,28,1023,150,5047
1,0,3.9,42,28,817,250,5047
1,0,3.9,239,28,789,500,5047
1,0,3.7,55,28,1620,200,5047
1,0,3.9,178,28,767,400,5047
1,0,3.4,224,3,1059,400,5047
1,0,3.9,199,0,1451,300,5047
1,1,4,1010,28,882,1300,5047
1,1,3.8,72,28,1496,400,5047
0,1,4.1,1000,3,50,800,5047
1,0,3.8,613,0,472,600,5047
1,0,2.9,42,0,1432,250,5047
1,0,3.7,194,0,1156,400,5047
0,0,4.3,423,3,956,150,5047
1,0,3.7,158,30,251,700,5047
1,1,4.1,1403,28,1296,1100,971
1,0,3.9,153,28,427,400,5047
1,1,2.9,90,3,1449,800,5047
1,0,3.1,140,0,1182,600,5047
1,0,4.1,463,0,344,500,5047
1,0,4.2,384,3,1465,600,4167
0,0,4,177,3,1112,400,5047
1,0,3.6,70,0,1248,350,2425
1,1,4,790,28,696,1300,5047
1,0,3.9,92,28,1602,300,5047
0,0,4.1,131,3,1121,400,5047
1,0,3.8,89,28,957,400,5047
1,0,3,57,30,1329,400,5047
1,0,3.8,92,3,674,1100,5047
1,0,3,57,28,604,650,5047
1,0,4.3,133,28,181,300,5047
0,0,4,164,3,769,250,5047
1,0,3.9,161,28,1209,500,3314
1,0,4,308,30,388,750,5047
1,0,2.6,208,28,602,650,5047
1,0,3.4,116,3,1423,400,5047
1,0,2.7,48,3,549,650,5047
1,0,3.7,127,28,467,700,5047
1,1,3.9,727,28,416,800,5047
0,0,3.9,125,3,446,500,5047
1,0,2.6,170,3,978,600,5047
0,0,3.8,89,3,1196,550,5047
1,0,4,507,28,460,1000,5047
1,0,3.8,254,0,521,550,5047
1,0,2.8,334,3,1196,500,5047
0,0,3.8,69,3,350,700,5047
1,1,4.1,842,28,1546,1100,2359
1,0,4,88,28,181,500,5047
1,0,3.5,283,0,206,350,5047
1,1,4.1,293,28,938,500,5047
0,0,2.9,106,3,1196,450,5047
1,0,3,61,0,332,650,5047
0,0,2.8,80,3,46,650,5047
1,1,4,347,28,1295,1000,5047
1,0,3.4,186,3,1598,450,5047
0,0,4,93,3,181,800,5047
0,0,2.4,183,3,1156,450,5047
0,0,2.9,85,3,1615,250,5047
0,0,3.4,66,3,590,800,5047
0,0,2.9,58,3,203,250,5047
0,0,3.6,162,3,1196,500,5047
0,0,2.7,67,3,1451,300,5047
0,0,2.2,90,3,1196,750,5047
0,0,2.4,96,3,1292,500,5047
1,0,4,101,3,1079,500,5047
1,1,3.8,560,28,1156,800,5047
1,0,3.7,243,28,286,450,5047
1,0,3.2,148,3,1547,250,5047
0,0,2.3,291,3,1600,250,5047
1,1,3.9,1337,3,7,1700,5047
0,0,4,65,3,956,200,5047
1,0,3.6,43,28,583,600,5047
1,0,3.7,46,0,1156,400,2416
1,0,3.7,46,0,960,150,5047
1,0,3.7,117,28,1156,150,5047
1,1,4.4,2487,3,1343,900,5047
1,0,3.2,66,3,1196,600,5047
0,1,4.1,1187,28,979,1200,5047
0,0,4.3,353,28,1416,1200,5047
0,1,4.2,1212,28,1490,1200,5047
1,0,3.7,115,0,565,550,5047
1,0,4.1,952,28,1614,400,5047
0,0,3.8,915,28,1156,600,5047
1,0,3.7,135,0,1196,500,5047
0,1,4.1,466,28,1064,700,5047
0,0,3.8,115,28,1209,350,5047
0,0,3.9,61,28,1052,400,5047
0,0,3.9,86,28,949,250,5047
0,0,4,193,28,1555,500,5047
0,0,3.8,82,28,1472,1000,5047
0,0,3.9,115,28,1547,200,5047
0,0,3.7,28,0,1196,500,5047
0,0,3.2,63,28,191,600,5047
0,0,3.1,44,0,1196,500,5047
0,0,3.5,65,28,1420,750,5047
0,0,2.7,76,0,1196,500,5047
0,0,2.6,75,0,1438,400,5047
0,0,3,55,28,65,800,5047
0,0,3.7,48,28,1335,800,5047
0,0,2.9,39,28,857,500,5047
1,0,3.9,193,28,1589,400,5047
1,0,3.9,63,3,1487,200,5047
1,0,3.8,186,28,339,500,5047
1,0,3.3,28,3,282,400,5047
0,0,4.3,423,3,956,150,5047
0,0,4,102,3,175,400,5047
0,0,4.1,131,3,1121,400,5047
0,0,4,164,3,769,250,5047
1,0,3.9,102,3,352,450,5047
1,0,3.9,70,3,767,350,5047
1,0,3.9,188,3,959,400,5047
0,0,3.8,46,3,961,300,5047
1,0,4.4,677,3,772,500,5047
1,0,3.9,40,3,442,400,5047
1,0,3.9,99,3,956,400,5047
0,0,4,93,3,181,800,5047
0,0,3.8,69,3,350,700,5047
1,0,4.1,41,3,181,500,5047
0,0,4,65,3,956,200,5047
1,1,4.1,448,28,695,700,5047
1,0,4.1,46,28,502,600,5047
1,0,4.3,132,28,181,300,5047
1,0,4.1,237,28,791,500,5047
1,0,3.9,239,28,789,500,5047
0,0,4.1,521,28,404,550,5047
0,0,4,319,28,773,500,5047
1,0,3.8,89,28,957,400,5047
